grp,h,thr,var,n,bss2,ece,d_bss2,d_ece,wins,nyr
single,10,0.05,PLATT,995228,0.06688120020025978,0.00665452768274711,-0.0008131767668492218,4.712958113252917e-05,8.0,21.0
single,10,0.05,ISO,995228,0.06675983771113403,0.003309326857297003,-0.0009345392559749754,-0.003298071244317578,8.0,21.0
single,21,0.02,BASE,992687,0.019064879341940677,0.009219318141419713,0.0,0.0,0.0,21.0
single,21,0.02,SQ,992687,0.019092108501202798,0.008582543930127057,2.7229159262120994e-05,-0.0006367742112926567,8.0,21.0
single,21,0.02,FE250,992687,0.018865629837404363,0.011332164055749357,-0.00019924950453631407,0.0021128459143296436,11.0,21.0
single,21,0.02,FE1000,992687,0.01902356689100093,0.010588835827676894,-4.131245093974556e-05,0.0013695176862571802,11.0,21.0
single,21,0.02,SPL,992687,0.01979812788155577,0.008033471869953047,0.0007332485396150945,-0.001185846271466666,16.0,21.0
single,21,0.02,LOGIT,992687,0.020380143089039904,0.006861616737207017,0.0013152637470992268,-0.0023577014042126965,13.0,21.0
single,21,0.02,MNL,992687,0.02033890520340953,0.006913907967492442,0.0012740258614688527,-0.002305410173927272,11.0,21.0
single,21,0.02,PLATT,992687,0.019893810275445234,0.007325042935224389,0.0008289309335045569,-0.0018942752061953247,12.0,21.0
single,21,0.02,ISO,992687,0.017890701687228172,0.003578499529671683,-0.001174177654712505,-0.00564081861174803,9.0,21.0
single,21,0.05,BASE,992687,0.04168520058869196,0.012184633229861611,0.0,0.0,0.0,21.0
single,21,0.05,SQ,992687,0.0418593399006254,0.010946259108895382,0.00017413931193344112,-0.0012383741209662288,9.0,21.0
single,21,0.05,FE250,992687,0.04303597176009755,0.01628140885835397,0.0013507711714055848,0.0040967756284923575,17.0,21.0
single,21,0.05,FE1000,992687,0.04304588727743219,0.015142770290238562,0.0013606866887402314,0.0029581370603769513,17.0,21.0
single,21,0.05,SPL,992687,0.04228070199875844,0.010598105071858394,0.000595501410066479,-0.0015865281580032167,17.0,21.0
single,21,0.05,LOGIT,992687,0.04149536101781137,0.012331954414508796,-0.00018983957088059,0.0001473211846471853,8.0,21.0
single,21,0.05,MNL,992687,,,,,,
single,21,0.05,PLATT,992687,0.041078363475562374,0.010803937639061595,-0.000606837113129588,-0.001380695590800016,8.0,21.0
single,21,0.05,ISO,992687,0.04090117462794651,0.004639055420675991,-0.0007840259607454492,-0.00754557780918562,10.0,21.0
