sym,exp,dte,side,spot,n_strikes,iv_near,k_near,iv_interp,k_lo,k_hi,oi_near,vol_near,spr_near,mid_near,zero_bid_frac,oi_total,vol_total
EPAM,2026-10-16,32,C,122.58180236816406,28,0.5019581054687501,125.0,0.49322056468312453,120.0,125.0,257.0,1.0,1.2999999999999998,5.65,0.2857142857142857,2392.0,123.0
EPAM,2026-10-16,32,P,122.58180236816406,25,0.5144091528320311,125.0,0.49569428506822505,120.0,125.0,19.0,1.0,2.3000000000000007,7.75,0.4,1278.0,89.0
EPAM,2026-12-18,95,C,122.58180236816406,42,0.5476119458007813,125.0,0.5490878817442992,120.0,125.0,28.0,2.0,2.3000000000000007,12.65,0.23809523809523808,1325.0,144.0
EPAM,2026-12-18,95,P,122.58180236816406,35,0.5290574438476563,125.0,0.5184897424920687,120.0,125.0,9.0,1.0,2.5,13.35,0.34285714285714286,1801.0,131.0
EPAM,2027-01-15,123,C,122.58180236816406,32,0.5240526110839843,125.0,0.5301334671712779,120.0,125.0,6.0,1.0,2.3000000000000007,13.85,0.0,1767.0,328.0
EPAM,2027-01-15,123,P,122.58180236816406,27,0.5217943328857422,125.0,0.5400369011476226,120.0,125.0,41.0,5.0,2.5999999999999996,14.899999999999999,0.18518518518518517,3453.0,102.0
EPAM,2027-04-16,214,C,122.58180236816406,12,0.5632978240966797,125.0,0.5649508723534197,120.0,125.0,6.0,2.0,2.3999999999999986,20.0,0.0,90.0,18.0
EPAM,2027-04-16,214,P,122.58180236816406,14,0.5250596810913085,120.0,0.5216297085830858,120.0,135.0,3.0,3.0,2.400000000000002,16.9,0.21428571428571427,223.0,192.0
YELP,2026-09-18,4,C,21.780000686645508,15,0.6152382226562501,22.0,0.691291912236251,21.0,22.0,35.0,5.0,1.05,0.525,0.8,1066.0,46.0
YELP,2026-09-18,4,P,21.780000686645508,10,0.7187528125,22.0,0.7140263120176271,21.0,22.0,472.0,10.0,0.5000000000000001,0.8500000000000001,0.4,6723.0,1499.0
YELP,2026-10-16,32,C,21.780000686645508,8,0.6513706738281251,22.0,,,,7.0,34.0,0.9000000000000001,1.15,0.5,84.0,70.0
YELP,2026-10-16,32,P,21.780000686645508,9,0.5864299169921875,22.0,0.5714984722865094,21.0,22.0,32.0,7.0,2.2,1.65,0.3333333333333333,502.0,143.0
YELP,2026-11-20,67,C,21.780000686645508,17,0.5742230078125,22.0,0.5759417352606356,21.0,22.0,4.0,1.0,3.3000000000000003,2.0500000000000003,0.29411764705882354,3076.0,62.0
YELP,2026-11-20,67,P,21.780000686645508,17,0.508793974609375,22.0,0.5876405962925964,21.0,22.0,36.0,1.0,0.44999999999999996,2.025,0.29411764705882354,772.0,139.0
YELP,2027-02-19,158,C,21.780000686645508,19,0.524418818359375,22.0,0.5286082165142056,21.0,22.0,22.0,20.0,1.2000000000000002,2.9,0.15789473684210525,936.0,111.0
