date,symbol,side,state,sector,signal_type,score,d0_close,fwd_d1,fwd_d3,fwd_d5,fwd_d10,fwd_d14,fwd_last,days,rank120,RSI,L2_trend,L2_pump,H4_RSI,H4_FJ
2026-05-20,VST,BUY,,07 数据中心电力,BUY_B_D1FJ_low_H4_0birth,,144.0,0.035278,,,,,0.092847,2,0.2043104498407844,43.44679489744779,0.0,2.043702991920835,46.89766008231192,61.21941996227902
2026-05-20,CF,SELL,,98 化肥,SHORT_A_D1FJ_weak_H4_1birth,65.0,123.3,-0.013058,,,,,-0.015815,2,0.7675174641290758,49.79661061618057,100.5707129461055,2.296429281478699e-33,48.34846076202123,43.63966636727598
2026-05-20,COP,SELL,,14 能源,SHORT_A_D1FJ_weak_H4_1birth,65.0,122.36,-0.014792,,,,,-0.014956,2,0.7550845472687555,51.6854652642602,86.24391342434689,2.208947370989101e-07,53.84006737462413,51.20803739173488
2026-05-20,CVX,SELL,,14 能源,SHORT_A_D1FJ_weak_H4_1birth,65.0,191.33,-0.001673,,,,,-0.001359,2,0.6922361188839853,52.08789657226458,96.5522742884664,1.464453432618076e-07,53.20289012106696,45.8857559998847
2026-05-20,NBIS,SELL,,98 数据中心,Gann_SELL_1_confirmed,72.0,191.82,0.146544,,,,,0.126838,2,0.8008555925128118,57.73261704708417,94.95458812504532,6.827989598316056e-22,51.05512087236048,37.83578686247127
2026-05-20,OXY,SELL,,14 能源,SHORT_A_D1FJ_weak_H4_1birth,65.0,58.87,-0.000679,,,,,-0.002548,2,0.7302342966979969,53.2012429953855,99.22186326167599,2.609103861816416e-07,54.75981503975885,50.01653200683585
2026-05-20,SO,SELL,,15 公用事业,SHORT_A_D1FJ_weak_H4_1birth,56.0,93.62,0.006622,,,,,0.010575,2,0.6347306513868951,47.73245253288075,56.12344683518758,3.140088259278113e-06,49.12059316969878,49.13387807418928
2026-05-20,SOXS,SELL,,01 市场环境,SHORT_A_D1FJ_weak_H4_1birth,42.0,8.54,-0.029274,,,,,-0.102049,2,0.005074629359798831,29.12353155911173,0.0,0.8504346108324687,36.213235043087,36.62138614406429
2026-05-21,ANET,BUY,,05 AI网络 / 光模块,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,148.59,0.032405,,,,,0.032405,1,0.5269480501384995,49.17833414205163,50.47482163825111,2.584907107433528e-11,52.41849194390612,71.27874857758206
2026-05-21,APLD,BUY,,98 数据中心,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,48.02,-0.041858,,,,,-0.041858,1,1.0,64.71546460449446,86.93301127504338,3.692942265564772e-11,64.59613772426559,74.63807670557208
