symbol,group,signal,date,fwd_ret,bench_ret,excess_ret,period
XLE,14 能源,回调买入点,2026-04-29,0.03828565446325416,0.031127860320604883,0.007157794142649276,test
CVX,14 能源,正式买入,2016-09-12,0.006552549329538415,-0.0001848631173606563,0.0067374124468990715,train
CVX,14 能源,正式买入,2016-10-18,0.04971016320937949,-0.0026204332964745447,0.05233059650585403,train
CVX,14 能源,正式买入,2016-11-30,0.05727859026074533,0.027316402941696127,0.029962187319049205,train
CVX,14 能源,正式买入,2017-01-24,-0.02113946056897309,0.022715281328217207,-0.0438547418971903,train
CVX,14 能源,正式买入,2017-02-27,-0.03642057892460149,-0.0003374038667653956,-0.03608317505783609,train
CVX,14 能源,正式买入,2017-03-29,-0.03553249142902082,-0.008915644495988029,-0.02661684693303279,train
CVX,14 能源,正式买入,2017-04-25,0.0011242866430558607,0.007335988168569951,-0.006211701525514091,train
CVX,14 能源,正式买入,2017-05-15,-0.03425358993899552,0.015355815208256463,-0.049609405147251984,train
CVX,14 能源,正式买入,2017-06-09,-0.02142855964849144,-0.008463076815254267,-0.012965482833237174,train
CVX,14 能源,正式买入,2017-07-03,-0.02916280352321554,0.01903307246837893,-0.04819587599159447,train
CVX,14 能源,正式买入,2017-07-25,0.04138327157852828,-0.003556724958875823,0.0449399965374041,train
CVX,14 能源,正式买入,2017-08-24,0.06524566593023784,0.02500098654613736,0.04024467938410048,train
CVX,14 能源,正式买入,2017-10-09,-0.03542603178471504,0.014806042732901759,-0.0502320745176168,train
CVX,14 能源,正式买入,2017-11-06,-0.012388965877428881,0.00533129167576929,-0.01772025755319817,train
CVX,14 能源,正式买入,2017-11-28,0.0279089745399006,0.020276247532426073,0.007632727007474527,train
CVX,14 能源,正式买入,2018-01-26,-0.1422364762165741,-0.04728169595873688,-0.09495478025783721,train
CVX,14 能源,正式买入,2018-02-26,0.0069808295149189625,-0.013314076181057177,0.02029490569597614,train
CVX,14 能源,正式买入,2018-03-21,0.01888242538606688,-0.02466436079874057,0.04354678618480745,train
CVX,14 能源,正式买入,2018-05-21,-0.013990860531100657,0.018985267345018597,-0.032976127876119254,train
CVX,14 能源,正式买入,2018-06-18,0.00015874131041226924,0.00484522834003398,-0.004686487029621711,train
CVX,14 能源,正式买入,2018-07-09,-0.00015871611560802634,0.012666497331990545,-0.012825213447598571,train
CVX,14 能源,正式买入,2018-08-07,-0.038584452942000746,0.01470695568496505,-0.0532914086269658,train
CVX,14 能源,正式买入,2018-08-27,-0.023597809504761313,-0.0015184016952852764,-0.022079407809476037,train
CVX,14 能源,正式买入,2018-11-02,-0.009849253462470231,-0.03177760926457451,0.021928355802104282,train
CVX,14 能源,正式买入,2018-11-28,-0.08726932124478348,-0.08492968608727125,-0.002339635157512232,train
CVX,14 能源,正式买入,2018-12-27,0.024149280982603383,0.060023314754849455,-0.03587403377224607,train
CVX,14 能源,正式买入,2019-01-17,0.05600218224126885,0.027304622097183096,0.028697560144085754,train
CVX,14 能源,正式买入,2019-03-26,-0.032143703794850986,0.031481240243428577,-0.06362494403827956,train
CVX,14 能源,正式买入,2019-04-30,0.006496741588856159,-0.03424929318724779,0.040746034776103945,train
CVX,14 能源,正式买入,2019-06-04,0.06487638885221259,0.04673302650763822,0.018143362344574365,train
CVX,14 能源,正式买入,2019-06-28,0.004821588414895883,0.014232127739707723,-0.00941053932481184,train
CVX,14 能源,正式买入,2019-08-08,-0.05193541630719112,-0.016109190611702684,-0.035826225695488434,train
CVX,14 能源,正式买入,2019-08-29,0.05224648735901094,0.02905188457892205,0.02319460278008889,train
CVX,14 能源,正式买入,2019-10-11,-8.611395694424484e-05,0.023795017625271475,-0.02388113158221572,train
CVX,14 能源,正式买入,2019-11-04,-0.02418361807013658,0.011679722793117575,-0.035863340863254156,train
CVX,14 能源,正式买入,2019-12-06,0.019405142564812294,0.025375521193758965,-0.005970378628946671,train
CVX,14 能源,正式买入,2020-02-05,-0.11099018860405874,-0.06417108181087716,-0.046819106793181575,train
CVX,14 能源,正式买入,2020-03-25,0.1908474355617915,0.12549137858918358,0.06535605697260793,train
CVX,14 能源,正式买入,2020-04-17,0.06275096174834882,0.003628167646513969,0.05912279410183485,train
CVX,14 能源,正式买入,2020-05-18,0.11550507249614483,0.09559326171875004,0.01991181077739479,train
CVX,14 能源,正式买入,2020-07-14,-0.04006792276928284,0.0309481835620955,-0.07101610633137834,train
