[2026-09-03 15:25:47 EDT] skip: not near a target time (ET 1525)
[2026-09-03 15:30:47 EDT] skip: not near a target time (ET 1530)
[2026-09-03 15:35:47 EDT] skip: not near a target time (ET 1535)
[2026-09-03 15:40:48 EDT] skip: not near a target time (ET 1540)
[2026-09-03 15:45:48 EDT] START scheduled scan (weekday 4, ET 1545, slot=close)
[2026-09-03 15:51:53 EDT]     scan ok
[2026-09-03 15:51:54 EDT] DONE slot=close for ET date 2026-09-03
[2026-09-03 15:56:55 EDT] skip: already ran slot=close for ET date 2026-09-03
[2026-09-03 16:01:55 EDT] skip: not near a target time (ET 1601)
[2026-09-03 16:06:55 EDT] skip: not near a target time (ET 1606)
[2026-09-03 16:11:55 EDT] skip: not near a target time (ET 1611)
[2026-09-03 16:16:55 EDT] skip: not near a target time (ET 1616)
[2026-09-03 16:22:34 EDT] skip: not near a target time (ET 1622)
[2026-09-03 16:27:55 EDT] skip: not near a target time (ET 1627)
[2026-09-03 16:32:56 EDT] skip: not near a target time (ET 1632)
[2026-09-03 16:38:06 EDT] skip: not near a target time (ET 1638)
[2026-09-03 16:43:06 EDT] skip: not near a target time (ET 1643)
[2026-09-03 16:48:07 EDT] skip: not near a target time (ET 1648)
[2026-09-03 16:53:07 EDT] skip: not near a target time (ET 1653)
[2026-09-03 16:58:07 EDT] skip: not near a target time (ET 1658)
[2026-09-03 17:03:07 EDT] skip: not near a target time (ET 1703)
[2026-09-03 17:08:07 EDT] skip: not near a target time (ET 1708)
[2026-09-03 17:15:36 EDT] skip: not near a target time (ET 1715)
[2026-09-03 17:20:36 EDT] skip: not near a target time (ET 1720)
[2026-09-03 17:25:36 EDT] skip: not near a target time (ET 1725)
[2026-09-03 17:30:37 EDT] skip: not near a target time (ET 1730)
[2026-09-03 17:35:37 EDT] skip: not near a target time (ET 1735)
[2026-09-03 17:40:37 EDT] skip: not near a target time (ET 1740)
[2026-09-03 17:45:45 EDT] skip: not near a target time (ET 1745)
[2026-09-03 17:51:25 EDT] skip: not near a target time (ET 1751)
[2026-09-03 17:56:25 EDT] skip: not near a target time (ET 1756)
[2026-09-03 18:01:25 EDT] skip: not near a target time (ET 1801)
[2026-09-03 18:06:26 EDT] skip: not near a target time (ET 1806)
[2026-09-03 18:11:26 EDT] skip: not near a target time (ET 1811)
[2026-09-03 18:16:26 EDT] skip: not near a target time (ET 1816)
[2026-09-03 18:21:26 EDT] skip: not near a target time (ET 1821)
[2026-09-03 18:26:26 EDT] skip: not near a target time (ET 1826)
[2026-09-03 18:31:26 EDT] skip: not near a target time (ET 1831)
[2026-09-03 18:37:12 EDT] skip: not near a target time (ET 1837)
[2026-09-03 18:44:07 EDT] skip: not near a target time (ET 1844)
[2026-09-03 18:49:07 EDT] skip: not near a target time (ET 1849)
[2026-09-03 18:54:07 EDT] skip: not near a target time (ET 1854)
[2026-09-03 18:59:07 EDT] skip: not near a target time (ET 1859)
[2026-09-03 19:05:36 EDT] skip: not near a target time (ET 1905)
[2026-09-03 19:10:36 EDT] skip: not near a target time (ET 1910)
[2026-09-03 19:15:36 EDT] skip: not near a target time (ET 1915)
[2026-09-03 19:20:55 EDT] skip: not near a target time (ET 1920)
[2026-09-03 22:55:23 EDT] skip: not near a target time (ET 2255)
[2026-09-04 04:37:55 EDT] skip: not near a target time (ET 437)
[2026-09-04 08:07:14 EDT] skip: not near a target time (ET 807)
[2026-09-04 10:20:34 EDT] skip: not near a target time (ET 1020)
[2026-09-04 10:32:06 EDT] skip: not near a target time (ET 1032)
[2026-09-04 10:37:06 EDT] skip: not near a target time (ET 1037)
[2026-09-04 10:42:06 EDT] skip: not near a target time (ET 1042)
[2026-09-04 10:47:06 EDT] skip: not near a target time (ET 1047)
[2026-09-04 10:52:07 EDT] skip: not near a target time (ET 1052)
[2026-09-04 10:57:07 EDT] skip: not near a target time (ET 1057)
[2026-09-04 11:02:07 EDT] skip: not near a target time (ET 1102)
[2026-09-04 11:07:07 EDT] skip: not near a target time (ET 1107)
[2026-09-04 11:12:07 EDT] skip: not near a target time (ET 1112)
[2026-09-04 11:17:07 EDT] skip: not near a target time (ET 1117)
[2026-09-04 11:22:07 EDT] skip: not near a target time (ET 1122)
[2026-09-04 11:27:08 EDT] skip: not near a target time (ET 1127)
[2026-09-04 11:32:08 EDT] skip: not near a target time (ET 1132)
[2026-09-04 11:39:00 EDT] skip: not near a target time (ET 1139)
[2026-09-04 11:44:00 EDT] skip: not near a target time (ET 1144)
[2026-09-04 11:49:00 EDT] skip: not near a target time (ET 1149)
[2026-09-04 11:54:00 EDT] skip: not near a target time (ET 1154)
[2026-09-04 11:59:01 EDT] skip: not near a target time (ET 1159)
[2026-09-04 12:04:01 EDT] skip: not near a target time (ET 1204)
[2026-09-04 12:09:01 EDT] skip: not near a target time (ET 1209)
[2026-09-04 12:14:01 EDT] skip: not near a target time (ET 1214)
[2026-09-04 12:19:01 EDT] skip: not near a target time (ET 1219)
[2026-09-04 12:24:01 EDT] skip: not near a target time (ET 1224)
[2026-09-04 12:29:01 EDT] skip: not near a target time (ET 1229)
[2026-09-04 12:34:01 EDT] skip: not near a target time (ET 1234)
[2026-09-04 12:39:01 EDT] skip: not near a target time (ET 1239)
[2026-09-04 12:44:01 EDT] skip: not near a target time (ET 1244)
[2026-09-04 12:52:13 EDT] skip: not near a target time (ET 1252)
[2026-09-04 13:47:59 EDT] skip: not near a target time (ET 1347)
[2026-09-04 13:52:59 EDT] skip: not near a target time (ET 1352)
[2026-09-04 13:58:00 EDT] skip: not near a target time (ET 1358)
[2026-09-04 14:03:00 EDT] skip: not near a target time (ET 1403)
[2026-09-04 14:08:00 EDT] skip: not near a target time (ET 1408)
[2026-09-04 14:13:00 EDT] skip: not near a target time (ET 1413)
[2026-09-04 14:19:40 EDT] skip: not near a target time (ET 1419)
[2026-09-04 14:24:40 EDT] skip: not near a target time (ET 1424)
[2026-09-04 14:29:40 EDT] skip: not near a target time (ET 1429)
[2026-09-04 14:35:27 EDT] skip: not near a target time (ET 1435)
[2026-09-04 14:40:27 EDT] skip: not near a target time (ET 1440)
[2026-09-04 14:45:27 EDT] skip: not near a target time (ET 1445)
[2026-09-04 14:50:28 EDT] skip: not near a target time (ET 1450)
[2026-09-04 14:55:28 EDT] skip: not near a target time (ET 1455)
[2026-09-04 15:00:28 EDT] skip: not near a target time (ET 1500)
[2026-09-04 15:05:28 EDT] skip: not near a target time (ET 1505)
[2026-09-04 15:10:28 EDT] skip: not near a target time (ET 1510)
[2026-09-04 15:15:28 EDT] skip: not near a target time (ET 1515)
[2026-09-04 15:20:28 EDT] skip: not near a target time (ET 1520)
[2026-09-04 15:25:28 EDT] skip: not near a target time (ET 1525)
[2026-09-04 15:30:28 EDT] skip: not near a target time (ET 1530)
[2026-09-04 15:35:29 EDT] skip: not near a target time (ET 1535)
[2026-09-04 16:37:27 EDT] skip: not near a target time (ET 1637)
[2026-09-04 17:57:24 EDT] skip: not near a target time (ET 1757)
[2026-09-04 18:02:24 EDT] skip: not near a target time (ET 1802)
[2026-09-04 18:07:24 EDT] skip: not near a target time (ET 1807)
[2026-09-04 18:12:24 EDT] skip: not near a target time (ET 1812)
[2026-09-04 18:17:25 EDT] skip: not near a target time (ET 1817)
[2026-09-04 18:22:25 EDT] skip: not near a target time (ET 1822)
[2026-09-04 18:27:25 EDT] skip: not near a target time (ET 1827)
[2026-09-04 19:02:48 EDT] skip: not near a target time (ET 1902)
[2026-09-04 22:34:59 EDT] skip: not near a target time (ET 2234)
[2026-09-05 02:23:48 EDT] skip: weekend (ET dow 6)
[2026-09-05 04:24:38 EDT] skip: weekend (ET dow 6)
[2026-09-05 07:17:16 EDT] skip: weekend (ET dow 6)
[2026-09-05 08:41:44 EDT] skip: weekend (ET dow 6)
[2026-09-05 12:25:02 EDT] skip: weekend (ET dow 6)
[2026-09-05 15:07:59 EDT] skip: weekend (ET dow 6)
[2026-09-05 18:11:19 EDT] skip: weekend (ET dow 6)
[2026-09-05 21:41:57 EDT] skip: weekend (ET dow 6)
[2026-09-06 03:04:45 EDT] skip: weekend (ET dow 7)
[2026-09-06 08:27:04 EDT] skip: weekend (ET dow 7)
[2026-09-06 11:48:32 EDT] skip: weekend (ET dow 7)
[2026-09-06 14:33:19 EDT] skip: weekend (ET dow 7)
[2026-09-06 18:37:32 EDT] skip: weekend (ET dow 7)
[2026-09-06 22:41:09 EDT] skip: weekend (ET dow 7)
[2026-09-07 04:38:46 EDT] skip: not near a target time (ET 438)
[2026-09-07 09:32:09 EDT] skip: not near a target time (ET 932)
[2026-09-07 13:35:45 EDT] skip: not near a target time (ET 1335)
[2026-09-07 18:13:46 EDT] skip: not near a target time (ET 1813)
[2026-09-07 20:09:15 EDT] skip: not near a target time (ET 2009)
[2026-09-07 20:56:05 EDT] skip: not near a target time (ET 2056)
